Opcode	Operand1	Operand2	Operand3	Operand4	OperandEncoding	Extra	ForcedPrefix	Support
D0/4	rm8,Write	1			M1			V,V
D1/4	rm16,Write	1			M1	OperandSizeOverride		V,V
D1/4	rm32,Write	1			M1			V,V
D1/4	rm64,Write	1			M1	REX.W		V,NE
D2/4	rm8,Write	cl,Unsigned			MC			V,V
D3/4	rm16,Write	cl,Unsigned			MC	OperandSizeOverride		V,V
D3/4	rm32,Write	cl,Unsigned			MC			V,V
D3/4	rm64,Write	cl,Unsigned			MC	REX.W		V,NE
C0/4	rm8,Write	imm8,Unsigned			MI			V,V
C1/4	rm16,Write	imm8,Unsigned			MI	OperandSizeOverride		V,V
C1/4	rm32,Write	imm8,Unsigned			MI			V,V
C1/4	rm64,Write	imm8,Unsigned			MI	REX.W		V,NE
